princess,77,game,73,220.34132273,227.59373817,399.311399085,847.246459985
princess,77,christ,77,154.995048001,75.3040246283,90.7355995542,321.034672184
princess,77,family,70,134.116022735,130.541216408,281.32870916,545.985948302
princess,77,with,59,171.488365635,230.774576962,361.511239441,763.774182038
princess,77,ball,55,132.649031237,186.418751248,259.331907705,578.39969019
princess,77,fountain,68,182.550137819,144.221955558,289.605901014,616.377994391
princess,77,fantasy,82,145.645038994,132.050115787,208.38949005,486.084644831
princess,77,universe,79,117.909306361,194.689098658,326.233084796,638.831489815
princess,77,diploma-f,55,188.028901064,86.6131081973,284.673135081,559.315144342
princess,77,roommate,64,190.549019176,230.060810197,397.09276238,817.702591753
princess,77,lord,65,188.332650025,85.9228810509,122.589855243,396.845386319
princess,77,class,65,134.5804158,134.069936956,273.579802934,542.230155691
princess,77,spat,58,139.895554614,184.518627027,312.790888008,637.205069648
princess,77,dessert,58,116.459127205,216.954769086,326.035187489,659.449083781
princess,77,different,50,184.560374734,147.29501962,298.048532064,629.903926418
princess,77,story,60,191.790757333,117.371572965,261.404435832,570.56676613
princess,77,creative,57,156.577150759,139.406013398,200.829145785,496.812309942
princess,77,international,58,178.358043122,208.567953278,398.858009371,785.784005771
princess,77,diploma-d,62,188.729906084,65.9228138318,236.178053948,490.830773864
princess,77,king,52,167.529697717,115.355696758,137.611924498,420.497318974
princess,77,department,60,152.553164273,126.559927287,266.234011843,545.347103403
princess,77,get-together,58,107.807543383,154.233977943,249.572729544,511.61425087
princess,77,more,60,126.643494291,172.11279181,258.027363431,556.783649531
princess,77,floor,58,176.363420721,60.5874649267,240.351794408,477.302680056
princess,77,talk-about,57,196.878802988,192.037730641,335.720138637,724.636672265
princess,77,world,66,174.202104682,200.213864802,333.696872101,708.112841584
princess,77,queen,53,166.886489445,87.5606303339,150.909665894,405.356785673
princess,77,group,53,196.423467518,94.9259643402,291.604220962,582.953652821
princess,77,fit,46,119.998294604,165.41175102,265.068728439,550.478774064
princess,77,much,50,216.289482886,137.516175719,266.096026993,619.901685598
princess,77,year,50,170.643087862,183.613683246,339.430420708,693.687191815
princess,77,without,53,227.675864263,203.068854477,340.932641779,771.677360519
princess,77,halluciation,46,169.803950263,125.955793122,207.040732173,502.800475558
princess,77,alumni,45,171.497940422,211.742052016,363.347008528,746.587000966
game,73,christ,77,207.221164209,220.16766663,375.670856955,803.059687793
game,73,family,70,190.02198565,191.392369621,379.517333331,760.931688602
game,73,with,59,165.024365677,96.1006426567,257.835798998,518.960807332
game,73,ball,55,189.041328006,143.225416412,335.514941694,667.781686112
game,73,fountain,68,172.30065543,192.343130394,337.312230437,701.956016261
game,73,fantasy,82,205.989657307,220.802840317,347.155565077,773.9480627
game,73,universe,79,213.155270819,173.244607014,356.918985246,743.318863079
game,73,china,58,187.497508285,206.265898257,377.323021468,771.08642801
game,73,diploma-f,55,182.252926649,209.440016146,380.66178989,772.354732686
game,73,lord,65,147.134142856,205.625153011,366.385472743,719.14476861
game,73,class,65,191.651676086,200.539186621,382.106287373,774.29715008
game,73,spat,58,170.424638487,170.545963905,328.92634324,669.896945632
game,73,dessert,58,196.104717409,140.739495278,324.211164172,661.05537686
game,73,different,50,169.413531986,191.184337694,349.135430017,709.733299697
game,73,story,60,138.658274713,195.787868512,321.890873238,656.337016464
game,73,creative,57,165.245141492,193.067246522,341.878566416,700.190954429
game,73,international,58,186.326635953,142.732803979,329.337107383,658.396547316
game,73,plaid,57,184.027616344,212.86952816,374.530526755,771.427671258
game,73,diploma-d,62,159.763199021,214.609694698,348.599906527,722.972800247
game,73,king,52,175.141395368,211.061157272,372.862464291,759.06501693
game,73,department,60,177.752799775,194.73448576,371.297874695,743.785160229
game,73,get-together,58,194.029547534,186.463053306,380.059172636,760.551773476
game,73,more,60,176.051360151,164.813228576,349.06243213,689.927020857
game,73,floor,58,192.826545008,223.007038569,376.678466774,792.512050351
game,73,talk-about,57,156.227176732,173.096519494,322.198599366,651.522295592
game,73,world,66,163.005123964,139.509672768,300.976362886,603.491159619
game,73,queen,53,156.200032902,210.111979177,363.57657984,729.88859192
game,73,group,53,141.617256014,203.524032358,331.880333714,677.021622086
game,73,fit,46,168.555502847,163.14535274,351.827716982,683.528572569
game,73,much,50,126.661359555,212.620259809,334.085763264,673.367382627
game,73,year,50,169.099868346,149.262067704,313.205148717,631.567084767
game,73,without,53,121.231309021,157.698173436,263.182782066,542.112264524
game,73,halluciation,46,173.454062028,188.388646149,355.770748571,717.613456748
game,73,alumni,45,144.771965223,149.019996997,291.401138341,585.193100562
christ,77,family,70,133.654276072,137.996944229,289.665712844,561.316933145
christ,77,with,59,218.570169277,227.797898421,348.287858617,794.655926315
christ,77,ball,55,182.703744482,196.326719253,275.562411539,654.592875274
christ,77,fountain,68,149.883213448,155.726779623,293.546662804,599.156655875
christ,77,fantasy,82,145.617095571,121.14276084,203.956168007,470.716024419
christ,77,universe,79,138.620080702,196.87245064,332.49885126,667.991382602
christ,77,china,58,151.058828919,60.4549558677,81.8339352005,293.347719987
christ,77,diploma-f,55,116.479513443,38.0918663984,260.748521266,415.319901107
christ,77,roommate,64,220.658004152,219.037498445,388.918589366,828.614091963
christ,77,class,65,106.953090392,125.799883034,275.639024298,508.391997724
christ,77,spat,58,165.657593304,191.501755968,313.365692755,670.525042027
christ,77,dessert,58,154.40775384,216.288743015,326.073984088,696.770480943
christ,77,different,50,166.293697285,154.790551761,300.688176223,621.772425269
christ,77,story,60,205.214047562,108.364182647,249.274706011,562.85293622
