princess,77,china,58,118.95258266,79.274878645,104.929492314,303.156953619
princess,77,plaid,57,156.38069581,100.833061224,122.590169438,379.803926471
game,73,roommate,64,151.719343165,120.6113615,261.337258541,533.667963206
christ,77,lord,65,160.913470556,33.8412678797,62.2447142823,256.999452718
christ,77,king,52,133.67336647,93.9727952791,124.000359815,351.646521564
christ,77,queen,53,148.985915772,30.4613588047,96.7026251274,276.149899704
family,70,class,65,87.9350565545,86.5954683376,178.217188641,352.747713533
family,70,department,60,85.8471724653,88.4904068586,165.718489855,340.056069179
family,70,group,53,199.098738439,55.9753140838,302.624957249,557.699009771
with,59,spat,58,134.36761966,123.330577697,251.700972296,509.399169653
with,59,get-together,58,145.753606464,141.935959238,286.286346525,573.975912227
with,59,fit,46,135.297553746,122.961179608,239.524733813,497.783467167
ball,55,dessert,58,109.373753371,131.944042696,225.767548115,467.085344182
ball,55,more,60,119.875585359,87.8144925488,160.00182842,367.691906327
fountain,68,story,60,160.909291853,109.866443106,247.950028247,518.725763206
fountain,68,talk-about,57,87.5840992269,120.894508558,226.313084068,434.791691854
fantasy,82,creative,57,185.432986788,167.388610335,212.029601665,564.851198788
fantasy,82,halluciation,46,171.300873392,131.946307568,158.918097444,462.165278405
universe,79,international,58,183.11583009,136.400481203,332.716331765,652.232643058
universe,79,world,66,195.371238733,128.02939104,319.066650111,642.467279885
universe,79,year,50,182.047870055,158.14107337,340.650562358,680.839505784
universe,79,alumni,45,170.355102215,149.412441589,310.722981406,630.49052521
china,58,plaid,57,106.876821235,77.0540529385,109.288825789,293.219699963
lord,65,king,52,171.308136596,77.1637284215,101.861889677,350.333754695
lord,65,queen,53,139.005644744,25.7331679134,69.7224772566,234.461289914
class,65,department,60,52.7957651024,51.5132280664,105.689739234,209.998732403
class,65,group,53,180.431513214,92.0699397836,303.421467034,575.922920032
spat,58,get-together,58,86.2021979564,79.2125845935,161.204515841,326.619298391
spat,58,fit,46,61.1726931534,70.6052135845,138.475861454,270.253768192
dessert,58,more,60,111.573938861,145.570587794,241.185869624,498.33039628
different,50,much,50,76.4174025367,57.6139336506,143.025225238,277.056561425
different,50,without,53,110.967857221,84.9621043153,192.735144642,388.665106179
story,60,talk-about,57,125.601320199,130.25897083,242.979579422,498.839870451
creative,57,halluciation,46,83.7027477393,76.1031956467,89.7060374269,249.511980813
international,58,world,66,126.755382595,143.444755784,229.264696532,499.464834912
international,58,year,50,111.25458277,103.462167585,217.797848203,432.514598558
international,58,alumni,45,140.303035881,100.76735836,234.023160363,475.093554603
king,52,queen,53,81.6897685649,58.7194559423,92.1184639566,232.527688464
department,60,group,53,165.060420721,73.5301372775,269.493336923,508.083894922
get-together,58,fit,46,54.6142177825,65.6948322996,168.586955151,288.896005233
world,66,year,50,108.55448178,112.170674662,209.440999308,430.16615575
world,66,alumni,45,127.784301179,95.4794393894,214.492220231,437.7559608
much,50,without,53,73.6399175217,109.102757305,169.412570004,352.155244831
year,50,alumni,45,91.7786470623,81.8333708788,169.487365682,343.099383623
